CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1285A,SP_27033001_14_6,43.536111109999993,-7.7402777700000005,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,99.543379,100,99.543379,77.46915137
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES0761A,SP_24061001_14_6,42.715555549999983,-5.6388888800000005,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,99.57762557,100,99.57762557,62.2240055
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1898A,SP_29032001_14_6,36.962299999999992,-4.84483,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,92.48858447,100,92.48858447,82.6487287
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES0822A,SP_21041008_14_6,37.279639999999993,-6.9380699999999997,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,81.64383562,100,81.64383562,60.0439038
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1543A,SP_12141002_14_6,40.735000000000007,-0.16944444,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,95.65068493,100,95.65068493,63.70163503
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1593A,SP_11031001_14_6,36.46059000000001,-6.2030700000000003,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,98.83561644,100,98.83561644,69.87352737
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1826A,SP_46190005_14_6,39.551388879999998,-0.46083333000000004,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,92.46575342,100,92.46575342,51.76592592
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1635A,SP_03014006_14_6,38.359444439999997,-0.47194444000000008,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,99.62328767,100,99.62328767,53.01902142
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1677A,SP_03099002_14_6,38.084722219999996,-0.85277776999999999,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,95.98173516,100,95.98173516,53.04507611
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1648A,SP_11008009_14_6,36.23386,-5.6635000000000009,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,95.39954338,100,95.39954338,67.65322484
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1215A,SP_43014001_14_6,40.706708760999994,0.58165148200000005,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,96.47260274,100,96.47260274,59.00662643
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1262A,SP_08187012_14_6,41.561175397,2.101405057,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,99.47488584,100,99.47488584,39.08824879
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1696A,SP_20069004_14_6,43.302777769999992,-1.9844444400000003,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Not valid,Verified,57.78538813,100,57.78538813,39.59758988
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1400A,SP_50059001_14_6,41.505560000000003,-0.15193999999999999,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,93.23059361,100,93.23059361,61.95396106
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1094A,SP_07032001_14_6,39.874890000000008,4.2586199999999996,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,98.29908676,100,98.29908676,66.53031587
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1886A,SP_46077006_14_6,39.42722221999999,-0.78388888000000001,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,98.56164384,100,98.56164384,58.27252721
Spain,2011,2015-10-20 14:18:16.3230000,STA_ES1397A,SP_08112003_14_6,42.003276503999992,2.2872719140000002,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2011-01-01,2012-01-01,Valid,Verified,96.59817352,100,96.59817352,47.56594185
